delay,cond,textbox.text,,,delay,cond,textbox.text,
0.1,exp,300,0.3,,0.1,unexp,200,0.2
0.4,exp,400,0.4,,0.4,unexp,500,0.5
0.7,exp,500,0.5,,0.7,unexp,200,0.2
0.1,exp,400,0.4,,0.1,unexp,200,0.2
0.7,exp,500,0.5,,0.4,unexp,300,0.3
0.1,exp,400,0.4,,0.7,unexp,350,0.35
0.4,exp,500,0.5,,0.7,unexp,500,0.5
0.4,exp,400,0.4,,0.1,unexp,300,0.3
0.7,exp,700,0.7,,0.4,unexp,200,0.2
0.1,exp,300,0.3,,0.1,unexp,200,0.2
0.4,exp,400,0.4,,0.7,unexp,400,0.4
0.1,exp,400,0.4,,0.4,unexp,300,0.3
0.7,exp,400,0.4,,0.1,unexp,400,0.4
0.4,exp,300,0.3,,0.7,unexp,300,0.3
0.1,exp,400,0.4,,0.4,unexp,500,0.5
0.4,exp,400,0.4,,0.7,unexp,700,0.7
0.7,exp,300,0.3,,0.4,unexp,200,0.2
0.7,exp,500,0.5,,0.1,unexp,300,0.3
0.7,exp,300,0.3,,0.1,unexp,300,0.3
0.1,exp,400,0.4,,0.4,unexp,400,0.4
0.7,exp,400,0.4,,0.7,unexp,200,0.2
0.4,exp,300,0.3,,0.4,unexp,300,0.3
0.4,exp,400,0.4,,0.1,unexp,400,0.4
0.1,exp,300,0.3,,0.7,unexp,600,0.6
0.4,exp,400,0.4,,0.1,unexp,200,0.2
0.1,exp,300,0.3,,0.7,unexp,900,0.9
0.7,exp,400,0.4,,0.4,unexp,600,0.6
0.7,exp,300,0.3,,,,,0.368518519
0.1,exp,200,0.2,,,,,
0.4,exp,300,0.3,,DIFF,0.037037037,,
0.4,exp,300,0.3,,,,,
0.1,exp,400,0.4,,,,,
0.4,exp,300,0.3,,,,,
0.7,exp,500,0.5,,,,,
0.1,exp,300,0.3,,,,,
0.7,exp,300,0.3,,,,,
0.1,exp,400,0.4,,,,,
0.4,exp,300,0.3,,,,,
0.7,exp,400,0.4,,,,,
0.7,exp,400,0.4,,,,,
0.7,exp,300,0.3,,,,,
0.1,exp,600,0.6,,,,,
0.1,exp,300,0.3,,,,,
0.4,exp,400,0.4,,,,,
0.4,exp,400,0.4,,,,,
0.7,exp,300,0.3,,,,,
0.7,exp,400,0.4,,,,,
0.1,exp,300,0.3,,,,,
0.4,exp,300,0.3,,,,,
0.1,exp,100,0.1,,,,,
0.4,exp,200,0.2,,,,,
0.1,exp,150,0.15,,,,,
0.4,exp,300,0.3,,,,,
0.7,exp,400,0.4,,,,,
0.7,exp,350,0.35,,,,,
0.4,exp,200,0.2,,,,,
0.1,exp,150,0.15,,,,,
0.4,exp,300,0.3,,,,,
0.7,exp,400,0.4,,,,,
0.7,exp,400,0.4,,,,,
0.4,exp,300,0.3,,,,,
0.1,exp,200,0.2,,,,,
0.1,exp,300,0.3,,,,,
0.1,exp,200,0.2,,,,,
0.7,exp,300,0.3,,,,,
0.7,exp,200,0.2,,,,,
0.4,exp,500,0.5,,,,,
0.4,exp,200,0.2,,,,,
0.1,exp,400,0.4,,,,,
0.4,exp,300,0.3,,,,,
0.1,exp,400,0.4,,,,,
0.7,exp,200,0.2,,,,,
0.4,exp,300,0.3,,,,,
0.7,exp,200,0.2,,,,,
0.7,exp,100,0.1,,,,,
0.4,exp,200,0.2,,,,,
0.7,exp,200,0.2,,,,,
0.1,exp,100,0.1,,,,,
0.1,exp,200,0.2,,,,,
0.4,exp,400,0.4,,,,,
0.1,exp,300,0.3,,,,,
,,,0.331481481,,,,,
